restaurant_name,city,locality,cuisines,cost,currency,price_range,rating,votes,cost_bucket,primary_cuisine
New Koto,brasí_lia,Asa Sul,japanese,200,Brazilian Real(R$),4,3.7,5,Low,japanese
Sandubas Cafí©,brasí_lia,Asa Sul,"brazilian, cafe",30,Brazilian Real(R$),1,0.0,2,Low,brazilian
Villa Tevere,brasí_lia,Asa Sul,italian,150,Brazilian Real(R$),4,4.1,12,Low,italian
Rovereto,brasí_lia,íguas Claras,pizza,100,Brazilian Real(R$),4,3.1,9,Low,pizza
Buena Carne,brasí_lia,íguas Claras,"bar food, brazilian",60,Brazilian Real(R$),3,3.6,9,Low,bar food
Taco Pep,brasí_lia,íguas Claras,"mexican, grill",100,Brazilian Real(R$),4,4.3,29,Low,mexican
Coco Bambu,brasí_lia,"Brasí_lia Shopping, Asa Norte",international,230,Brazilian Real(R$),4,4.2,17,Low,international
Taypíç,brasí_lia,Lago Sul,"peruvian, latin american",100,Brazilian Real(R$),4,3.6,5,Low,peruvian
Outback Steakhouse,brasí_lia,"ParkShopping, Guaríç I","american, grill",150,Brazilian Real(R$),4,4.0,10,Low,american
Manzuíç,brasí_lia,"Pontí£o Lago Sul, Lago Sul",seafood,240,Brazilian Real(R$),4,3.2,6,Low,seafood
Coco Bambu,brasí_lia,Setor De Clubes Esportivos Sul,international,230,Brazilian Real(R$),4,4.9,30,Low,international
Gero,brasí_lia,"Shopping Iguatemi, Lago Norte",italian,350,Brazilian Real(R$),4,3.3,8,Medium,italian
Brazilian American Burgers,brasí_lia,Sudoeste,"american, burger",50,Brazilian Real(R$),2,3.6,9,Low,american
Pesqueiro Eco Gourmet,rio de janeiro,Barra da Tijuca,"seafood, bar food, brazilian",140,Brazilian Real(R$),4,4.0,7,Low,seafood
Confeitaria Colombo,rio de janeiro,Centro,"desserts, cafe",100,Brazilian Real(R$),4,4.8,29,Low,desserts
Bibi,rio de janeiro,Copacabana,"juices, healthy food",60,Brazilian Real(R$),3,4.7,24,Low,juices
Cervantes,rio de janeiro,Copacabana,"beverages, bar food, fast food",90,Brazilian Real(R$),3,4.5,29,Low,beverages
Amir,rio de janeiro,Copacabana,lebanese,170,Brazilian Real(R$),4,4.2,11,Low,lebanese
TT Burger,rio de janeiro,"Galeria River, Copacabana",burger,60,Brazilian Real(R$),3,4.8,19,Low,burger
Braseiro da Gíçvea,rio de janeiro,Gíçvea,"brazilian, bar food",100,Brazilian Real(R$),4,4.9,40,Low,brazilian
Balada Mix,rio de janeiro,Ipanema,"brazilian, healthy food, juices, pizza",90,Brazilian Real(R$),3,4.6,21,Low,brazilian
Garota de Ipanema,rio de janeiro,Ipanema,"brazilian, bar food",120,Brazilian Real(R$),4,4.9,49,Low,brazilian
Zazíç BistríÇ Tropical,rio de janeiro,Ipanema,brazilian,170,Brazilian Real(R$),4,4.6,21,Low,brazilian
Filí© de Ouro,rio de janeiro,Lagoa,brazilian,90,Brazilian Real(R$),3,4.3,14,Low,brazilian
D.O.C Ristorante,rio de janeiro,"Le Monde, Barra da Tijuca",italian,150,Brazilian Real(R$),4,4.0,5,Low,italian
Sushi Leblon,rio de janeiro,Leblon,japanese,250,Brazilian Real(R$),4,4.6,25,Low,japanese
Talho Capixaba,rio de janeiro,Leblon,"bakery, sandwich, brazilian",120,Brazilian Real(R$),4,4.4,13,Low,bakery
Leme Light,rio de janeiro,Leme,brazilian,40,Brazilian Real(R$),2,4.2,7,Low,brazilian
Shirley,rio de janeiro,Leme,"brazilian, seafood",250,Brazilian Real(R$),4,4.2,8,Low,brazilian
Quiosque Chopp Brahma,rio de janeiro,Madureira,"bar food, brazilian",70,Brazilian Real(R$),3,0.0,1,Low,bar food
Aprazí_vel,rio de janeiro,Santa Teresa,brazilian,300,Brazilian Real(R$),4,4.7,44,Medium,brazilian
Aconchego Carioca,rio de janeiro,Tijuca,"brazilian, bar food",85,Brazilian Real(R$),3,4.6,24,Low,brazilian
Garota de Ipanema,rio de janeiro,Urca,"brazilian, bar food",80,Brazilian Real(R$),3,4.3,10,Low,brazilian
Cantina Famiglia Mancini,sí£o paulo,"Bela Vista, Centro","italian, pizza",250,Brazilian Real(R$),4,4.5,49,Low,italian
Templo da Carne - Marcos Bassi,sí£o paulo,"Bela Vista, Centro","steak, bbq",250,Brazilian Real(R$),4,4.4,17,Low,steak
Gopala Hari,sí£o paulo,Consolaí_í£o,indian,70,Brazilian Real(R$),3,3.1,5,Low,indian
Jiquitaia,sí£o paulo,Consolaí_í£o,brazilian,100,Brazilian Real(R$),4,4.1,15,Low,brazilian
Skye - Hotel Unique,sí£o paulo,"Hotel Unique, Jardim Paulista","beverages, international",300,Brazilian Real(R$),4,4.8,59,Medium,beverages
Les 3 Brasseurs,sí£o paulo,Itaim Bibi,"french, brazilian, beverages",120,Brazilian Real(R$),4,4.6,30,Low,french
Red Steak & Burger,sí£o paulo,Itaim Bibi,"brazilian, grill",75,Brazilian Real(R$),3,3.9,5,Low,brazilian
Cantinho da Gula,sí£o paulo,Itaim Bibi,brazilian,55,Brazilian Real(R$),2,0.0,0,Low,brazilian
Paris 6 Classique,sí£o paulo,Jardim Paulista,french,200,Brazilian Real(R$),4,3.4,73,Low,french
Kawa Sushi,sí£o paulo,Jardim Paulista,"sushi, japanese",120,Brazilian Real(R$),4,3.5,9,Low,sushi
A Figueira Rubaiyat,sí£o paulo,Jardim Paulista,"bbq, grill, brazilian",300,Brazilian Real(R$),4,4.3,39,Medium,bbq
Kinoshita,sí£o paulo,Moema,sushi,230,Brazilian Real(R$),4,3.9,12,Low,sushi
Meats,sí£o paulo,Pinheiros,"gourmet fast food, burger",120,Brazilian Real(R$),4,4.3,68,Low,gourmet fast food
Paribar,sí£o paulo,Repí_blica,"brazilian, italian",150,Brazilian Real(R$),4,4.3,46,Low,brazilian
Terraí_o Itíçlia,sí£o paulo,Repí_blica,italian,400,Brazilian Real(R$),4,4.4,37,Medium,italian
Divino Fogí£o,sí£o paulo,"Shopping MetríÇ Santa Cruz, Vila Mariana","brazilian, mineira",65,Brazilian Real(R$),3,0.0,2,Low,brazilian
Super Grill,sí£o paulo,"Shopping Morumbi, Santo Amaro",brazilian,50,Brazilian Real(R$),2,0.0,2,Low,brazilian
Esquina Mocotí_,sí£o paulo,Vila Maria,"brazilian, north eastern",100,Brazilian Real(R$),4,4.4,22,Low,brazilian
Veloso,sí£o paulo,Vila Mariana,"brazilian, bar food, beverages",70,Brazilian Real(R$),3,4.6,58,Low,brazilian
Sainte Marie Gastronomia,sí£o paulo,Vila SíÇnia,"lebanese, arabian",120,Brazilian Real(R$),4,4.1,11,Low,lebanese
Austin's BBQ and Oyster Bar,albany,Albany,"bbq, burger, seafood",25,Dollar($),2,3.3,35,Low,bbq
BJ's Country Buffet,albany,Albany,"american, bbq",10,Dollar($),1,3.3,25,Low,american
El Vaquero Mexican Restaurant,albany,Albany,mexican,0,Dollar($),1,3.4,45,Low,mexican
Elements Coffee Co - Northwest,albany,Albany,"coffee and tea, sandwich",10,Dollar($),1,3.4,26,Low,coffee and tea
Chick-fil-A,albany,Albany,fast food,10,Dollar($),1,3.5,67,Low,fast food
Guang Zhou Chinese Restaurant,albany,Albany,"asian, chinese, vegetarian",10,Dollar($),1,3.9,141,Low,asian
Harvest Moon,albany,Albany,"pizza, bar food, sandwich",25,Dollar($),2,3.7,147,Low,pizza
Henry Campbell's Steakhouse,albany,Albany,"steak, tapas, bar food",70,Dollar($),4,3.5,51,Low,steak
Hong Kong Cafe,albany,Albany,"chinese, seafood, vegetarian",25,Dollar($),2,3.6,88,Low,chinese
House of China Restaurant II,albany,Albany,chinese,10,Dollar($),1,3.8,153,Low,chinese
Locos Grill & Pub,albany,Albany,"american, burger, sandwich",25,Dollar($),2,3.5,57,Low,american
Longhorn Steakhouse,albany,Albany,"american, steak",25,Dollar($),2,3.5,58,Low,american
Mikata Japanese Steakhouse,albany,Albany,"japanese, steak, sushi",40,Dollar($),3,3.6,115,Low,japanese
Shogun Japanese Steak House,albany,Albany,"japanese, steak, sushi",40,Dollar($),3,3.5,51,Low,japanese
The Catch Seafood Room & Oyster Bar,albany,Albany,"seafood, tapas, bar food",40,Dollar($),3,3.8,250,Low,seafood
Villa Gargano,albany,Albany,"italian, pizza",10,Dollar($),1,3.7,117,Low,italian
3 Squares Diner,albany,Sylvester,"american, breakfast, diner",10,Dollar($),1,3.4,20,Low,american
Whitebull Hotel,armidale,Armidale,"bar food, steak",20,Dollar($),2,3.5,25,Low,bar food
Last Resort Grill,athens,Athens,"american, southern, southwestern",40,Dollar($),3,4.5,1821,Low,american
Mama's Boy Restaurant,athens,Athens,southern,10,Dollar($),1,4.5,849,Low,southern
Sr. Sol 1,athens,Athens,mexican,10,Dollar($),1,4.6,917,Low,mexican
Choo Choo Eastside,athens,Athens,"japanese, korean",10,Dollar($),1,3.9,439,Low,japanese
The Grill,athens,Athens,"breakfast, burger, sandwich",10,Dollar($),1,3.7,289,Low,breakfast
Big City Bread Cafe,athens,Athens,"breakfast, sandwich",10,Dollar($),1,4.3,558,Low,breakfast
Clocked,athens,Athens,"american, burger, sandwich",10,Dollar($),1,4.2,613,Low,american
DePalma's Italian Cafe - Downtown,athens,Athens,"american, italian, pizza",25,Dollar($),2,4.0,353,Low,american
DePalma's Italian Cafe - East Side,athens,Athens,"american, italian, pizza",25,Dollar($),2,4.1,387,Low,american
Five & Ten,athens,Athens,american,40,Dollar($),3,4.3,755,Low,american
Grit,athens,Athens,"international, southern, vegetarian",10,Dollar($),1,4.2,800,Low,international
Ike & Jane,athens,Athens,sandwich,10,Dollar($),1,4.1,350,Low,sandwich
La Dolce Vita Ristorante,athens,Athens,italian,40,Dollar($),3,4.1,464,Low,italian
Shokitini,athens,Athens,"asian, japanese, sushi",25,Dollar($),2,4.2,550,Low,asian
Taqueria Del Sol,athens,Athens,"mexican, spanish",10,Dollar($),1,4.1,543,Low,mexican
The National,athens,Athens,"international, southern",40,Dollar($),3,4.1,465,Low,international
The Royal Peasant,athens,Athens,bar food,10,Dollar($),1,4.4,546,Low,bar food
Transmetropolitan,athens,Athens,"italian, pizza, sandwich",10,Dollar($),1,4.4,1098,Low,italian
Trappeze Pub,athens,Athens,"burger, bar food",25,Dollar($),2,4.2,579,Low,burger
Viva! Argentine Cuisine,athens,Athens,"desserts, latin american, argentine",10,Dollar($),1,4.1,374,Low,desserts
Miyabi Kyoto Japanese Steak House,augusta,Augusta,"chinese, steak",40,Dollar($),3,4.6,717,Low,chinese
Rae's Coastal Cafe,augusta,Augusta,"american, caribbean, seafood",40,Dollar($),3,4.9,548,Low,american
The Bee's Knees,augusta,Augusta,"international, tapas, vegetarian",25,Dollar($),2,4.5,631,Low,international
Boll Weevil Cafe,augusta,Augusta,"desserts, sandwich, southern",10,Dollar($),1,3.9,372,Low,desserts
Farmhaus Burger,augusta,Augusta,"american, burger",25,Dollar($),2,3.9,201,Low,american
Manuel's Bread Cafe,augusta,Augusta,"breakfast, french",40,Dollar($),3,3.8,332,Low,breakfast
Sconyers Bar B Que,augusta,Augusta,bbq,25,Dollar($),2,3.5,304,Low,bbq
Frog Hollow Tavern,augusta,Augusta,american,40,Dollar($),3,4.3,368,Low,american
Giuseppe's Pizza & Italian Specialities,augusta,Augusta,"desserts, italian, pizza",25,Dollar($),2,4.1,430,Low,desserts
Mellow Mushroom,augusta,Augusta,"italian, pizza, sandwich",25,Dollar($),2,4.4,433,Low,italian
Nacho Mamas Burritos,augusta,Augusta,mexican,10,Dollar($),1,4.0,380,Low,mexican
Rhinehart's Oyster Bar,augusta,Augusta,"bar food, sandwich, seafood",25,Dollar($),2,4.0,456,Low,bar food
Takosushi,augusta,Augusta,"mexican, southwestern, sushi",40,Dollar($),3,4.2,647,Low,mexican
The Chop House,augusta,Augusta,steak,40,Dollar($),3,4.0,360,Low,steak
The Taj of India,augusta,Augusta,indian,25,Dollar($),2,4.0,227,Low,indian
Augsburg Haus,augusta,Evans,german,25,Dollar($),2,3.9,290,Low,german
Pho Bac,augusta,Evans,vietnamese,10,Dollar($),1,4.1,270,Low,vietnamese
Rhinehart's Oyster Bar,augusta,Evans,"burger, seafood",25,Dollar($),2,4.0,326,Low,burger
Thai Kitchen,augusta,Evans,thai,35,Dollar($),3,4.3,317,Low,thai
El Kiosco Mexican Restaurant,augusta,Grovetown,mexican,10,Dollar($),1,4.2,300,Low,mexican
Taste of Balingup,balingup,Balingup,modern australian,20,Dollar($),2,3.2,21,Low,modern australian
Bridge Road Brewers,beechworth,Beechworth,"pizza, bar food",20,Dollar($),2,4.6,237,Low,pizza
Bardenay,boise,Boise,"american, bar food",25,Dollar($),2,4.5,879,Low,american
Flatbread Neapolitan Pizzeria,boise,Boise,"italian, pizza",25,Dollar($),2,4.6,615,Low,italian
Goldy's Breakfast Bistro,boise,Boise,"breakfast, sandwich",25,Dollar($),2,4.5,879,Low,breakfast
Chandlers Steakhouse,boise,Boise,"american, seafood, steak",70,Dollar($),4,3.9,379,Low,american
Bar Gernika Basque Pub & Eatery,boise,Boise,"european, spanish",10,Dollar($),1,4.3,303,Low,european
Barbacoa Restaurant,boise,Boise,"latin american, steak",70,Dollar($),4,4.1,538,Low,latin american
Big Jud's,boise,Boise,"american, burger, sandwich",10,Dollar($),1,4.2,334,Low,american
Bittercreek Ale House,boise,Boise,"american, bar food",25,Dollar($),2,4.3,555,Low,american
Boise Fry Company,boise,Boise,"american, burger",10,Dollar($),1,4.4,823,Low,american
Flying Pie Pizzaria,boise,Boise,pizza,25,Dollar($),2,4.1,550,Low,pizza
Fork,boise,Boise,"american, burger",25,Dollar($),2,4.4,650,Low,american
Guido's Original New York Style Pizza,boise,Boise,pizza,10,Dollar($),1,4.3,410,Low,pizza
Los Beto's,boise,Boise,mexican,10,Dollar($),1,4.4,660,Low,mexican
Lucianos Italian Restaurant,boise,Boise,"italian, seafood, vegetarian",25,Dollar($),2,4.4,360,Low,italian
Mai Thai Restaurant,boise,Boise,"sushi, thai",40,Dollar($),3,4.0,340,Low,sushi
Shige Japanese Cuisine,boise,Boise,"japanese, sushi, teriyaki",25,Dollar($),2,4.1,393,Low,japanese
The Egg Factory,boise,Boise,breakfast,10,Dollar($),1,4.3,422,Low,breakfast
Tucanos,boise,Boise,brazilian,40,Dollar($),3,4.0,435,Low,brazilian
Texas Roadhouse,boise,Meridian,"american, bbq, steak",25,Dollar($),2,4.0,369,Low,american
Brick 29,boise,Nampa,american,40,Dollar($),3,4.4,487,Low,american
Winifreds,cedar rapids/iowa city,Cedar Rapids,"american, mediterranean, seafood",40,Dollar($),3,3.7,98,Low,american
Biaggi's Ristorante Italiano,cedar rapids/iowa city,Cedar Rapids,"italian, pizza",40,Dollar($),3,4.1,365,Low,italian
El Super Burrito,cedar rapids/iowa city,Cedar Rapids,mexican,10,Dollar($),1,4.1,190,Low,mexican
Granite City Food & Brewery,cedar rapids/iowa city,Cedar Rapids,"american, breakfast, burger",40,Dollar($),3,4.1,429,Low,american
Irish Democrat,cedar rapids/iowa city,Cedar Rapids,"american, bbq, burger",25,Dollar($),2,4.4,430,Low,american
Taste of India,cedar rapids/iowa city,Cedar Rapids,indian,25,Dollar($),2,4.2,186,Low,indian
Thai Moon Restaurant,cedar rapids/iowa city,Cedar Rapids,"chinese, sushi, thai",10,Dollar($),1,4.2,220,Low,chinese
Ting's Red Lantern,cedar rapids/iowa city,Cedar Rapids,chinese,10,Dollar($),1,4.2,347,Low,chinese
Monica's,cedar rapids/iowa city,Coralville,"american, italian, pizza",25,Dollar($),2,3.8,161,Low,american
Exotic India,cedar rapids/iowa city,Coralville,indian,25,Dollar($),2,4.1,160,Low,indian
Shorts Burger and Shine,cedar rapids/iowa city,Iowa City,burger,10,Dollar($),1,4.9,820,Low,burger
The Hamburg Inn No. 2 Inc.,cedar rapids/iowa city,Iowa City,"american, breakfast, burger",10,Dollar($),1,4.5,488,Low,american
Bluebird Diner,cedar rapids/iowa city,Iowa City,"breakfast, diner",25,Dollar($),2,3.6,253,Low,breakfast
Graze,cedar rapids/iowa city,Iowa City,"american, international, sushi",40,Dollar($),3,3.8,220,Low,american
A & A Pagliai's Pizza,cedar rapids/iowa city,Iowa City,pizza,25,Dollar($),2,4.3,485,Low,pizza
Atlas World Grill,cedar rapids/iowa city,Iowa City,international,40,Dollar($),3,4.3,428,Low,international
BlackStone,cedar rapids/iowa city,Iowa City,"american, breakfast",25,Dollar($),2,4.1,294,Low,american
Devotay,cedar rapids/iowa city,Iowa City,"mediterranean, tapas, vegetarian",40,Dollar($),3,4.0,380,Low,mediterranean
Jimmy Jack's Rib Shack,cedar rapids/iowa city,Iowa City,bbq,25,Dollar($),2,4.2,259,Low,bbq
Zoeys Pizzeria,cedar rapids/iowa city,Marion,"pizza, sandwich",25,Dollar($),2,4.7,433,Low,pizza
Tokyo Sushi,chatham-kent,Chatham-Kent,"japanese, sushi",25,Dollar($),2,3.7,176,Low,japanese
Berry Patch Restaurant,clatskanie,Clatskanie,"american, breakfast, desserts",10,Dollar($),1,4.3,96,Low,american
Sakura Sushi & Grill,cochrane,Cochrane,"asian, japanese",25,Dollar($),2,3.1,6,Low,asian
Uptown Vietnam cuisine,columbus,Columbus,"asian, vietnamese",10,Dollar($),1,3.3,33,Low,asian
Cafe Le Rue @ The Landings,columbus,Columbus,"american, seafood, cajun",25,Dollar($),2,4.6,489,Low,american
Mark's City Grille,columbus,Columbus,american,25,Dollar($),2,4.5,345,Low,american
B Merrell's,columbus,Columbus,"burger, bar food, southern",25,Dollar($),2,3.8,149,Low,burger
Cannon Brewpub,columbus,Columbus,"pizza, bar food",25,Dollar($),2,3.9,330,Low,pizza
Fuji Japanese Steak House,columbus,Columbus,"japanese, steak",40,Dollar($),3,3.9,247,Low,japanese
Ruth Ann's Family Restaurant,columbus,Columbus,"breakfast, diner, southern",10,Dollar($),1,3.7,123,Low,breakfast
Samurai Japanese Cuisine & Sushi Bar,columbus,Columbus,"japanese, steak, sushi",40,Dollar($),3,3.6,109,Low,japanese
Wasabi Sushi and Thai,columbus,Columbus,"japanese, sushi, thai",40,Dollar($),3,3.7,134,Low,japanese
Buckhead Bar and Grill,columbus,Columbus,"seafood, steak, vegetarian",40,Dollar($),3,4.2,722,Low,seafood
Burt's Butcher Shoppe and Eatery,columbus,Columbus,steak,25,Dollar($),2,4.3,213,Low,steak
Chef Lee's Peking Restaurant,columbus,Columbus,chinese,25,Dollar($),2,4.0,335,Low,chinese
Country's Barbecue,columbus,Columbus,"bbq, southern",25,Dollar($),2,4.0,353,Low,bbq
Deorio's,columbus,Columbus,"italian, pizza",0,Dollar($),1,4.0,170,Low,italian
Mellow Mushroom,columbus,Columbus,pizza,25,Dollar($),2,4.1,192,Low,pizza
Meritage,columbus,Columbus,"american, tapas",40,Dollar($),3,4.1,302,Low,american
Mongo The Mongolian Fire Pit,columbus,Columbus,"asian, chinese",10,Dollar($),1,4.2,355,Low,asian
The Black Cow,columbus,Columbus,american,25,Dollar($),2,4.3,287,Low,american
Wood Stone,columbus,Columbus,"italian, mediterranean, pizza",40,Dollar($),3,4.0,264,Low,italian
Hunter's Pub,columbus,Hamilton,"american, seafood, steak",40,Dollar($),3,4.4,235,Low,american
Consort Restaurant,consort,Consort,"chinese, canadian",25,Dollar($),2,3.0,6,Low,chinese
Thatcher's Barbeque and Grill,dalton,Calhoun,"american, bbq, southern",25,Dollar($),2,3.7,38,Low,american
Christian and Jake's Bistro,dalton,Calhoun,"desserts, sandwich",10,Dollar($),1,4.4,122,Low,desserts
Dub's High on the Hog,dalton,Calhoun,bbq,25,Dollar($),2,4.4,207,Low,bbq
Sierra's Mexican Restaurant,dalton,Chatsworth,"mexican, tex-mex",10,Dollar($),1,3.9,66,Low,mexican
Oakwood Cafe,dalton,Dalton,"bbq, breakfast, southern",10,Dollar($),1,4.9,249,Low,bbq
Chili's Grill & Bar,dalton,Dalton,american,25,Dollar($),2,3.8,63,Low,american
Fuji Japanese Steakhouse,dalton,Dalton,"japanese, sushi",40,Dollar($),3,3.8,145,Low,japanese
Las Palmas,dalton,Dalton,mexican,10,Dollar($),1,3.8,83,Low,mexican
Tony's Italian Restaurant & Pizza,dalton,Dalton,italian,25,Dollar($),2,3.7,116,Low,italian
Filling Station,dalton,Dalton,"american, burger",10,Dollar($),1,4.1,122,Low,american
Five Guys Burgers and Fries,dalton,Dalton,fast food,10,Dollar($),1,4.1,142,Low,fast food
Los Pablos,dalton,Dalton,mexican,10,Dollar($),1,4.1,114,Low,mexican
Kobe Hibachi & Sushi,dalton,Fort Oglethorpe,"american, japanese, sushi",25,Dollar($),2,4.6,214,Low,american
Soho Hibachi,dalton,Fort Oglethorpe,japanese,10,Dollar($),1,4.3,116,Low,japanese
Thai Garden,dalton,Fort Oglethorpe,thai,25,Dollar($),2,4.2,111,Low,thai
Southern Bliss Bakery,dalton,LaFayette,"desserts, sandwich",10,Dollar($),1,3.7,25,Low,desserts
Bailey's Bar-B-Que,dalton,Ringgold,bbq,10,Dollar($),1,4.1,128,Low,bbq
Farm To Fork,dalton,Ringgold,"american, diner, southern",10,Dollar($),1,4.3,244,Low,american
Home Plate Grill,dalton,Ringgold,"american, bbq, southern",10,Dollar($),1,4.2,112,Low,american
Pie Slingers Pizzeria,dalton,Rock Spring,"italian, pizza",10,Dollar($),1,4.1,144,Low,italian
Olive Tree Cafe,davenport,Bettendorf,"indian, mediterranean, middle eastern",25,Dollar($),2,4.6,166,Low,indian
"Red Ginger Sushi, Grill & Bar",davenport,Bettendorf,"sushi, teriyaki",40,Dollar($),3,4.5,208,Low,sushi
Crust Stone Oven Pizza,davenport,Bettendorf,"burger, pizza",25,Dollar($),2,3.9,136,Low,burger
Jimmy's Pancake House,davenport,Bettendorf,"american, breakfast, greek",10,Dollar($),1,4.0,85,Low,american
Trattoria Tiramisu,davenport,Bettendorf,italian,25,Dollar($),2,4.1,117,Low,italian
Prairie Grille at SteepleGate Inn,davenport,Davenport,"american, breakfast",25,Dollar($),2,3.4,53,Low,american
Tantra Asian Bistro,davenport,Davenport,asian,25,Dollar($),2,4.9,474,Low,asian
Chick-fil-A,davenport,Davenport,fast food,10,Dollar($),1,3.9,125,Low,fast food
Duck City Bistro,davenport,Davenport,"american, french",70,Dollar($),4,3.7,201,Low,american
Frick's Tap,davenport,Davenport,"american, bar food, bbq",25,Dollar($),2,0.0,2,Low,american
Los Agaves,davenport,Davenport,mexican,25,Dollar($),2,0.0,3,Low,mexican
Azteca,davenport,Davenport,mexican,0,Dollar($),1,4.3,167,Low,mexican
China Cafe,davenport,Davenport,chinese,25,Dollar($),2,4.0,112,Low,chinese
Exotic Thai Restaurant,davenport,Davenport,thai,25,Dollar($),2,4.1,256,Low,thai
Front Street Brewery,davenport,Davenport,american,10,Dollar($),1,4.3,123,Low,american
Granite City Food & Brewery,davenport,Davenport,american,25,Dollar($),2,4.0,199,Low,american
Los Agaves,davenport,Davenport,mexican,25,Dollar($),2,4.1,157,Low,mexican
Machine Shed Restaurant,davenport,Davenport,american,25,Dollar($),2,4.1,100,Low,american
Osaka,davenport,Davenport,"japanese, sushi",40,Dollar($),3,4.2,141,Low,japanese
Texas Roadhouse,davenport,Davenport,"american, bbq, steak",25,Dollar($),2,4.2,197,Low,american
Hickory Park,des moines,Ames,"bbq, burger, desserts",25,Dollar($),2,4.5,1025,Low,bbq
The Cafe,des moines,Ames,"american, coffee and tea",25,Dollar($),2,4.9,570,Low,american
Flying Mango,des moines,Beaverdale,"bbq, caribbean, cajun",40,Dollar($),3,4.5,674,Low,bbq
Cool Basil,des moines,Clive,"asian, sushi, thai",25,Dollar($),2,4.1,496,Low,asian
HuHot Mongolian Grill,des moines,Clive,"asian, chinese",25,Dollar($),2,4.0,411,Low,asian
Malo,des moines,Downtown,"latin american, mexican",25,Dollar($),2,3.2,113,Low,latin american
